,title,imgurl,date,blurp,url,text,category,source
0,Nobel Prize Goes to ‘Godfathers of AI’ Who Now Fear Their Work Is Growing Too Powerful,https://gizmodo.com/app/uploads/2024/10/nobel-hinton-hopfield-ai.jpg,08/10/2024,John Hopfield and Geoffrey Hinton developed artificial neural networks that laid the foundation for modern recommendation systems and generative AI.,https://gizmodo.com/nobel-prize-goes-to-godfathers-of-ai-who-now-fear-their-work-is-growing-too-powerful-2000509098,"Two AI researchers, John Hopfield and Geoffrey Hinton, received the Nobel Prize in physics on Monday for their work building artificial neural networks that can memorize information and recognize pat… [+3174 chars]",artificial intelligence,gizmodo.com
1,[Removed],,08/10/2024,[Removed],https://removed.com,[Removed],artificial intelligence,[removed]
2,A Nobel Prize for Artificial Intelligence,https://cdn.theatlantic.com/thumbor/9KQb2xZMaQH7VIhZhgKJuWEoglU=/0x41:2000x1083/1200x625/media/img/mt/2024/10/nobles_AIntelligence-1/original.jpg,08/10/2024,The award should not feed the AI-hype cycle.,https://www.theatlantic.com/newsletters/archive/2024/10/of-course-ai-just-got-a-nobel-prize/680197/,"This is Atlantic Intelligence, a newsletter in which our writers help you wrap your mind around artificial intelligence and a new machine age. Sign up here.The list of Nobel laureates reads like a co… [+3668 chars]",artificial intelligence,the atlantic
3,"Machine learning pioneers, including the 'Godfather of AI,' are awarded the Nobel Prize in Physics",,08/10/2024,"Two scientists have been awarded
 the Nobel Prize in Physics “for foundational discoveries and inventions that enable machine learning
 with artificial neural networks.” John Hopfield, an emeritus professor of Princeton University, devised an associative me…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_6520a371-80be-4f58-afc3-cdc8b7ee93c5,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",artificial intelligence,yahoo entertainment
4,OpenAI Raises Billions While Pledging to Work With ‘U.S. and Allied Governments’,https://gizmodo.com/app/uploads/2024/10/sam-altman-getty.jpg,02/10/2024,"OpenAI is now valued at $157 billion, a close read of OpenAI's statement might provide some hints about the future.",https://gizmodo.com/openai-raises-billions-while-pledging-to-work-with-u-s-and-allied-governments-2000506556,"OpenAI has raised $6.6 billion at a $157 billion post-money valuation, according to a statement the company posted online Wednesday. The funding round was led by Thrive Capital, which invested $1.25 … [+4379 chars]",artificial intelligence,gizmodo.com
5,"Geoffrey Hinton, the 'godfather of AI' who warned of its existential risk, awarded Nobel Prize for Physics",https://i.insider.com/67050a7a3f2165d716df23f8?width=1200&format=jpeg,08/10/2024,Geoffrey Hinton and John J. Hopfield win the 2024 Nobel Prize in Physics for  machine learning inventions with artificial neural networks.,https://www.businessinsider.com/geoffrey-hinton-godfather-ai-nobel-prize-physics-john-hopfield-2024-10,"Computer scientist Geoffrey Hinton has been referred to as the ""Godfather of AI.""Noah Berger/Associated Press
<ul><li>Geoffrey Hinton and John J. Hopfield have been awarded the 2024 Nobel Prize in P… [+1675 chars]",artificial intelligence,business insider
6,Creating Video Games With AI: a Mario Example,https://hackaday.com/wp-content/uploads/2024/09/Screenshot-2024-09-30-202023-e1727691657905.png,02/10/2024,"Artificial intelligence (AI) seems to be doing everything these days. Making images, making videos, and replacing most of us real human writers if you believe the hype. Maybe it’s all …read more",https://hackaday.com/2024/10/02/creating-video-games-with-ai-a-mario-example/,"Artificial intelligence (AI) seems to be doing everything these days. Making images, making videos, and replacing most of us real human writers if you believe the hype. Maybe it’s all over! And yet, … [+1400 chars]",artificial intelligence,hackaday
7,Wimbledon Tennis Tournament Replaces Line Judges With AI Technology in Break With Tradition,https://api.time.com/wp-content/uploads/2024/10/AP24283405632465.jpg?quality=85&w=1200&h=628&crop=1,09/10/2024,The All England Club announced that artificial intelligence will be used to make the ‘out’ and ‘fault’ calls at the championships from 2025.,https://time.com/7081166/wimbledon-tennis-tournament-replaces-line-judges-with-ai-technology/,"LONDON That long-held Wimbledon tradition of line judges dressed in elegant uniforms is no more.
The All England Club announced Wednesday that artificial intelligence will be used to make the out an… [+1514 chars]",artificial intelligence,time
8,Kellogg's cereal factory set to create 130 jobs,https://ichef.bbci.co.uk/news/1024/branded_news/eb50/live/56087fa0-80dd-11ef-822c-a50726bfda2e.jpg,02/10/2024,"It follows the closure of a sister site in Greater Manchester, with the loss of 360 jobs.",https://www.bbc.com/news/articles/cjr30dgn0dpo,"Kellogg's has had a factory in Wrexham since the 1970s
Kellogg's has said it will create 130 jobs at Europe's ""largest cereal factory"" in north Wales.
Kellanova, the company which manufactures the … [+1419 chars]",artificial intelligence,bbc news
9,2 Artificial Intelligence Stocks That Could Deliver Explosive Gains,,07/10/2024,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_8fb67228-3e96-4870-8e81-2f50f0371f7a,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",artificial intelligence,yahoo entertainment
